"academic use only"

"corpus","preloaded/ententen20_tt31_1"
"subcorpus","-"
"concordance size","8049"
"query","Query:[tag=""N.*""& tag!=""NNSZ"" & tag!=""NNZ""& tag!=""NPZ""& tag!=""NPSZ""] [tag= ""VVN"" & lemma =""stain""][tag=""RB""]? [tag=""IN""] within < s/>;Shuffle:"
"Reference","Left","KWIC","Right"
"nervenet.org",") from the albino strain are present in this field. </s><s> Two of these are marked with curved arrows. </s><s> (F) Horizontal","cells stained with","a calbindin antibody are also dispersed from cohorts of like-genotype cells. </s><s> A blue horizontal cell (arrow) is"
"rutgerhauer.org","I have shall I, for one, Keep open, at the annual feast, The puppet-booth of fun. </s><s> I care not if the wit be poor, The old worn","motley stained with","rain and tears, If but the courage still endure That filled and strengthened hope in earlier years; If still, with"
"bourne-lincs.org.uk","and take our fruit. </s><s> After a few hours, we would return home laden, often a stone or more, our hands black with juice and our","mouths stained from","repeated tastings. </s><s> Blackberries were not only a succulent, delicious fruit but they were also free and a boon to a"
"arvojournals.org","). </s><s> Disruption of cell-cell junctions in Yap1+/− lens epithelium. </s><s> (A, B) Representative images of flat-mounted lens","epithelium stained with","phalloidin and DAPI. </s><s> (C1–C4, D1–D4, E1–E4) The representative images at anterior of WT (C1–C4) and Yap1+/− (D1–D4, E1"
"merwolf.com","her shifted, and tensed, the arm bearing the knife drawing back. </s><s> She could smell the tang of the steel, and a leather","tunic stained with","sweat. </s><s> Xena whirled and struck, on hand smashing aside the knife streaking towards her back, the other, curled into a"
"amarillobay.org",", a large space for live music and a second room/bar in which to escape the band. </s><s> The outside, however, was even worse–the","sidewalk stained with","beer, puke, bubble gum, and old butts that collected on the pavement around the ashtray instead of in it. </s><s> ""You only had"
"aljazeera.com","week to help the environment in this way. </s><s> Lima, Peru - Yonaimer Godoy and his wife peered into his cracked phone, their","eyes stained with","tears. </s><s> ""What are you doing over there?"" </s><s> Godoy''s father asked him through a video call. </s><s> ""Crying."" </s><s> But Peru, the"
"wikipedia.org","Pocono Film Festival in Pennsylvania for her lead comedic role in ""God''s Country"". </s><s> In 2008, Gotzon won Best Actress for","short-film Stained at","168 Film Festival (2008). </s><s> (""Stained"" made cinematic history being the first film shot on 4K Red One Camera to win a film"
"tertullian.org","even vexed when the severity of their punishment was terminated by death, yet he pardoned Pollentianus, the tribune, a","man stained with","such enormous wickedness, that at that very time he was convicted on his own confession of having cut out the womb of a"
"wikipedia.org","genes. </s><s> Cell death-promoting genes and a single cell-death inhibitor have been identified. </s><s> Wild-type C. elegans","hermaphrodite stained with","the fluorescent dye Texas Red to highlight the nuclei of all cells </s><s> RNA interference (RNAi) is a relatively"
"wikipedia.org",", and sees Jamie standing at the top of the stairs, wearing a clown mask, holding a pair of scissors in her hand, with her","costume stained with","blood, similar to Michael when he killed his older sister Judith. </s><s> Sheriff Meeker prevents Loomis from shooting her and"
"adult-fanfiction.org","of blows the guard gave him. </s><s> Karin Uzumaki ran. </s><s> She ran past the soldier, the bodies discarded like crushed hands, her","feet stained with","the blood running down the stairs. </s><s> She was in the village''s heart now, where the rest of the people lived. </s><s> It was worse"
"jpathinformatics.org",", and head-and-neck carcinomas were included. </s><s> BF-IHC-S stained for FAP with Diaminobenzidine (DAB). </s><s>","BF-IHC-D stained for","FAP and Pan-Cytokeratin antibody cocktails with novel purple- and yellow-detection kits, respectively. </s><s> Slides"
"enzolifesciences.com","flexibility with HRP & AP options </s><s> High definition color development </s><s> Formalin-fixed paraffin-embedded human","tonsil stained with","pre-diluted mouse CD68 antibody labeled with HIGHDEF® IHC chromogen substrate (DAB, HC) ( brown), pre-diluted"
"clarku.edu","smaller and the braincase much larger. </s><s> The Piltdown bonesconsisting of a human skull associated with an orangutan","jawwere stained with","potassium dichromate to make them look older. </s><s> The dark areas represent the original bone fragments, whereas the"
"lostatsea.net","and danced across it throughout the years. </s><s> Once shiny and new, it was now tarnished with the ruin of time, its white","keys stained with","the dirt and grime of a thousand unwashed hands. </s><s> If one listened close enough, they would swear they could hear the piano"
"helovia.net",". </s><s> So what is a monster or two in the caves? </s><s> What is a shadow on the wall when the blood of a god rests against my chest? </s><s> It''s a","vial stained with","contradiction, with the mortal proof of immortal being. </s><s> And what does that make me? </s><s> My hindquarters sway awkwardly"
"constellationsofwords.com","with a flutter of winged sandals Perseus flies upwards and from the skies hurls himself at the foe, driving home the","weapon stained with","the Gorgon''s blood [Medusa, see Algol]. </s><s> The beast rises to meet him, rears its head, twisting it out of the water, leaps"
"igc.org","course, there is more work to be done. </s><s> Overcoming a legacy of dark mistrust does not happen overnight. </s><s> Wading through a","history stained with","rivers of blood to reach a peaceful place takes time. </s><s> When you''ve grown up being taught that you must choose sides,"
"gutenberg.org","to Khama to tell him. </s><s> The chief went to the house and strode in. </s><s> The room was a wreck. </s><s> The men lay senseless with their white","shirts stained with","blood. </s><s> Khama with set, stern face turned and walked to the house where he often went for counsel, the home of his friend,"
"gnosis.org",", said to water the Apis also from a special well, and by all means to keep him from the Nile,–not that they think His 7","water stained with","blood because of the Crocodile, 8 as some think (for nothing is so precious to Egyptians as the Nile), </s><s> but that the water"
"jci.org","dUTP nick-end labeling is increased in Col1a1r/r relative to wild-type bones. </s><s> Osteocyte perilacunar","matrices stained with","Ab that recognizes collagenase collagen α1(I) chain cleavage ends in wild-type but not Col1a1r/r calvariae. </s>"
"invitroscreeningblog.com","a synchronous record. </s><s> Twitter Updates </s><s> Lipid Histochemistry Glomerular lipid deposits had been scored in 4-p frozen","sections stained through","the ORO way. </s><s> To determine the spatial relationship between ORO-positive lipid materials and apolipoproteins,"
"themediadesk.com","they shouldn''t have with open intakes."" </s><s> Where there was supposed to be a long tapered opening there was a jagged","opening stained with","some dark stuff that looked dirty in the reflected searchlights from the fighter. </s><s> From the front of the ship somebody"
"reviewed.com","on our ramekin. </s><s> Redeposit: We measure redeposit to see whether food removed from one plate sticks to another. </s><s> We use","bowls stained with","spinach to check for redeposit since it shows up bright green on our stark-white plates. </s><s> After every test cycle, we"
"dovepress.com",". </s><s> Ungated data were used to generate data plots (Figure 8B). </s><s> The lower right quadrant represents early stage apoptotic","cells stained by","Annexin V-FITC; the upper right quadrant represents late stage apoptotic cells as positive for both the stains. </s>"
"thepermanentejournal.org",", to strong and diffuse. </s><s> EMA was positive in 50% of gastric perineuriomas. </s><s> More prominent expression was noted in those","specimens stained for","GLUT-1 (n = 2). </s><s> Claudin-1 was positive in 15/17 intestinal perineuriomas and 1 gastric perineurioma stained for this"
"gutenberg.net.au","that no one had realised it all, until it was over, and the lad was lying prone on the ground, his elegant blue satin","coat stained with","red, and his antagonist bending over him. </s><s> There was nothing more to be done. </s><s> Etiquette demanded that Déroulède should"
"dickens-online.info",", and neglected of this earth - read the blessed history, in which the blind lame palsied beggar, the criminal, the","woman stained with","shame, the shunned of all our dainty clay, has each a portion, that no human pride, indifference, or sophistry, through"
"microbiologybook.org","yeast forms from an open lung biopsy. </s><s> Fig. 16. </s><s> Microscopic morphology of Histoplasma capsulatum yeast form. </s><s> Open lung","biopsy stained with","fluorescent antibody. </s><s> Ellipsoid cells with monopolar budding are 2-4 microns/diam. </s><s> Source: E. Reiss </s><s> Mycology When"
"links.org.au","an electrified baton he says was taken from the army. </s><s> A man wearing a helmet, also taken from the army. </s><s> A woman holds up a","book stained with","what she says was the blood of a victim of the army''s attack last night. </s><s> Protesters building a barricade to make further"
"clockstonestudios.com","I came home to find her wandering through the apartment in one of her growing collections of dinosaur t-shirts, her","arms stained to","the elbow in silver spray paint as she ranted to me and the walls and our cats about exactly, precisely how silly it is to"
"fsu.edu","full color digital image captured with an optical microscope. </s><s> The specimen is a thin section of mammalian taste","buds stained with","eosin and hematoxylin and imaged under brightfield illumination mode. </s><s> Appearing to the right of the digital image is"
"stgitehistory.org.uk",", though the house was almost instantly surrounded; but was soon after captured at a sailors'' boarding-house, where a","knife stained with","blood was afterwards found secreted. </s><s> The wretch hanged himself in prison the night of his arrest. </s><s> His body was placed on"
"doomsteaddiner.net","; their lawn had been bleached to straw by drought. </s><s> I hiked the Santa Ynez Mountains with my dad, who ran his hands along","rocks stained with","the memory of creeks and falls, marveling, ""The sound of rushing water used to be so loud here."" </s><s> He was 13 the last time it"
"neopets.com","the only place in Erodaire that I wished to be... </s><s> ""Andra!"" </s><s> Oldraik cried, and I found myself falling into his arms, my","eyes stained with","dry tears and my face filled with indescribable feelings of inner-torture. </s><s> ""Andra,"" he whispered as he held my face in"
"e-urol-sci.com","in this study were pre- and post-TURP plasma erythrocyte count and microvessel density (MVD) of resected prostate","tissue stained with","CD34. </s><s> Statistical Analysis Used: Data homogeneity was tested using the Shapiro–Wilk test. </s><s> Individuals''"
"stardestroyer.net",". </s><s> Hazmat collapsed into Mettle, who listed slowly before he fell as well. </s><s> ""BEOWULF!"" </s><s> The white cyborg yelled, her","voice stained with","pain, rang out and let Murphy know her hearing was returning. </s><s> And she got back to digging, grabbing the end of a long tube"
"microscopy-uk.org.uk","medium. </s><s> (Caution: Xylene is poisonous and highly flammable.) The silver stain produces very good contrast and","specimens stained in","this manner are best observed with oblique top illumination. </s><s> A Note Regarding Silver Nitrate </s><s> All metal salts should be"
"scarsdale10583.com","sister-in-law, while Li''s 4-year-old child was in the room. </s><s> At the time of his arrest, Li was wearing a white","T-shirt stained with","blood. </s><s> He told police he had just had an argument with his wife over their son taking a bath. </s><s> The homeowner allegedly"
"nih.gov","Scientific Interest Group </s><s> A multiplex spectrally unmixed immunofluorescence image of a lung-cancer","tissue stained with","seven biomarkers. </s><s> Intramural and extramural scientists who are using multiplex immunohistochemistry and"
"forumsforums.com","unopened package of marijuana that an undercover officer had delivered an hour earlier. </s><s> What police left behind was a","house stained with","blood and a trail of questions about their conduct. </s><s> No other evidence of illegal activity was found, and no one was"
"scicrunch.org","(n = 11). </s><s> Such distinctive nestin-expressing cells were not seen in nestin-stained control brains or ENU-exposed","brains stained for","GFAP or vimentin, nor was such a cell seen in a stab wound model used to assess reactive astrocytosis. </s><s> While the number of"
"eg.net","vascular supply. </s><s> Degenerated type I and type IV collagen fibers have also been described [3]. </s><s> Distorted fibrillar","structures stained with","elastic tissue pigments, such as Weigert or Verlhof, are commonly observed. </s><s> They were initially considered to be"
"europepmc.org","A) MBS is apically enriched in ventral furrow cells. </s><s> Images of XY semisagittal and YZ cross sections for fixed sqh::GFP","embryos stained for","MBS. </s><s> Bar, 10 μm. </s><s> (B) MBS structures colocalize with Myo-II foci and the supracellular Myo-II meshwork (arrowheads). </s>"
"thriftyfun.com","bath tub jets. </s><s> Painting Over Smoke Stained Walls This is a page about painting over smoke stained walls. </s><s> Painting","walls stained with","nicotine from smoking can be frustrating because it tends to bleed through the paint. </s><s> Treating a Rash in Skin"
"tripod.com","beyond. </s><s> He stood up straight and melted backwards as she neared him, her eyes streaming make-up and her peach colored","dress stained in","several places with something dark. </s><s> She saw him out of the corner of her eye – she had known where he was gaming. </s><s> His"
"arvojournals.org","mice expressed p16INK4a. </s><s> Next, we examined p16INK4a expression in laser-induced subretinal fibrosis. </s><s> RPE/choroid","flatmounts stained with","p16INK4a and collaged type I antibodies showed co-localization of p16INK4a and collagen type I in subretinal"
"academyofbards.org","silver buttons on her uniform dirty and smudged. </s><s> She always keeps them so shiny. </s><s> ""Don''t leave me."" </s><s> She pleads, her","uniform stained by","her dark blood. </s><s> She is dying. </s><s> ""You''re dying."" </s><s> I tell her needlessly. </s><s> ""Don''t leave me."" </s><s> Jaden repeats and I clasp her had"
"iospress.com","case, the DAPI fluorescence of resident cell nuclei and senile plaques both disappeared. </s><s> F) DNase treated AD cortical","section stained with","Thioflavin S. Senile plaque exhibits a yellow-green fluorescence indicating that DNase pretreatment does not"
"clarku.edu","color containing iron. </s><s> According to Woodward, Dawson had applied the dichromate to harden the fossils. </s><s> But why was the","jaw stained with","both iron and dichromate? </s><s> Probably to match the cranium which fluorine dating had shown to be much older. </s><s> The initial"
"igem.org","TorA signal BioBricks (such as BBa_K638402) and our modified TorA signal (BBa_K797002) </s><s> Fig.2-4 E.coli (left)","sample stained with","Hoechst and observed with 352nm wavelength. </s><s> Hoechst can stain DNA. </s><s> E.coli (right) sample having plac-TorA-GFP-DT"
"legacyweb.com","the energy into the head of the young man. </s><s> His body slumped to the ground; black lifeless eyes staring up from chalk white","features stained with","two perfect trails of blood which went down his cheeks as if tears. </s><s> Nick stood in total shock, the only thing he could"
"screendaily.com","solitary life in a shack on the side of a mountain. </s><s> The violent coughs which spasm through his body, leaving his","handkerchief stained with","blood, are not enough to stop him wandering through the woods in search of the therapeutic herbs and fungi that he"
"arisia.org","fabric that enveloped her figure. </s><s> It was Nancy''s ex-boyfriend''s shirt she had forced the girl to change into, the older","clothes stained with","blood and dirt. </s><s> With their height differences and the need to mutilate the back by cutting two large holes, the shirt"
"lymphedemapeople.com","vessel (arrowheads) and blood vessel (arrows) sprouting from pre-existing vessels at the edge of a day 5 punch biopsy","wound stained for","VEGFR-3 (O) and PAL-E (P). </s><s> The continuous line in O and P marks the wound edge. </s><s> Scale bars, 50 μm (A-D, M, N) and 70 μm (E-L, O"
"qlrs.com",". </s><s> In ''Children''s Drawings'': </s><s> The lines do not show the strength their subjects demand, in crayon or splashed in","water stained with","imaginary colour, but they hold together anyway; the spiders'' legs and dribbled walls </s><s> that are Dubrovnik, Jajce, or"
"frontiersin.org","Flow Cytometry </s><s> Cells were washed twice and treated with CD16/32 (eBiosciences) for 15 min at 4°C before being","surface stained for","CD4 GK1.5 (PerCP or FITC), CD8 53-6.7 (FITC or APC), and CD25 PC61.5 (APC) (eBiosciences). </s><s> Cells were prepared for"
"forumotion.com",". </s><s> With a cry of surprise he flings himself back and finds himself on the ground, the beast towering over him, fangs and","claws stained with","a dark fluid (blood? hydraulic fluids? did he want to know?) and eyes boring into his very soul. </s><s> He lies there, paralyzed"
"myparentime.com","are colorfast) and minimize the shrinking of washable woolens. </s><s> Cold water is also good for lightly soiled clothing and","clothes stained with","blood, wine or coffee. </s><s> (These stains may set if washed in hot or warm water.) WASH the Clothes Follow the directions on"
"jpathinformatics.org","designed a CNN architecture to automatically classify 2,579 image patches extracted from breast tissue whole slide","images stained with","H&E. The goal of the CNN is to assign a single label to image patches which represent varying degrees of cellularity. </s><s> Our"
"chestofbooks.com","water. </s><s> They are then placed in the above stain, and allowed to remain there until the desired colour has been produced. </s><s>","Articles stained in","this manner will acquire a beautiful purple colour by dipping them in alum-water. </s><s> (10) Bright red. 8.75 oz. logwood and"
"islander.org","joined hands along long stretches of the state''s Atlantic and Gulf coasts, including northwest areas of the","state stained by","oil from the Deepwater Horizon spill. </s><s> Locals and visitors stood along the shore on much of Anna Maria Island. </s><s> Island"
"jpgmonline.com",", an elegant technique developed by Gimble allows the quantitation of adipocytes by flow cytometry in a MSC","culture stained with","the lipophilic dye nile red.[ </s><s> 46] </s><s> Myogenic potential </s><s> In recent years, the extent of MSC multipotency has been"
"cam.ac.uk","underlying neurodevelopmental disease progression and potential therapeutic avenues. </s><s> A cerebral organoid","slice stained for","axons and colour coded by directionality of the large bundles, or tracts. </s><s> Episode #6: Central Bank Digital Currency"
"minutemanroadclub.com","looked great. </s><s> Bummer for Chris who I saw running with his bike with a broken chain. </s><s> It wouldn''t be cross season without a","kit stained by","the track at Lowell so it was still all good. </s><s> Thanks for the great reports, and thank goodness you didn''t get too beat up"
"histopathology-india.net","(EMB) still is the most reliable method to detect and monitor rejection after heart transplantation. </s><s> Multiple serial","sections stained with","haematoxylin and eosin are usually adequate for the diagnosis of rejection. </s><s> In some cases, endomyocardial biopsies"
"stanford.edu","with fig-tree branches, and cover the gravestones with funereal cypress branches. </s><s> Throw onto the magic fire seven","eggs stained with","the blood of a sepulchral toad, some owl''s feathers, Iberian grasses, and the bones of a she wolf.... </s><s> Next, sprinkle the"
"oup.com","plate encompassing neocortical layer 1. </s><s> For each case, orbitofrontal, dorsolateral frontal and superior temporal","samples stained for","GFAP with an automated immunostainer were counted in a blinded fashion. </s><s> The mean GFAP immunoreactive cell counts/mm"
"gutenberg.org","it The room had been left as it was when last it was tenanted. </s><s> On the table were an empty bottle, two tumblers, and a little","saucer stained with","dry colors, blue and red, part of Shields'' stock-in-trade. </s><s> There were, besides, some very sharp needles of bone, of a"
"adult-fanfiction.org","why not benefit from them in more than just the bounty? </s><s> ""Takikage-sama, I have returned."" </s><s> Haikage bowed and held out a","scroll stained with","dried blood. </s><s> ""Within this containment scroll are Kakuzu''s head and his five hearts."" </s><s> The Taki leader gasped as Kakuzu"
"jci.org","the percentage of MUC5B+ epithelial cells. </s><s> Scale bars: 5 μm. </s><s> (D) Representative micrographs of small airways showing","mucopolysaccharides stained with","AB-PAS. </s><s> Scale bars: 5 μm. </s><s> AB-PAS+ cells were quantified per unit length (mm) of basal lamina (BL). </s><s> Data are mean ± SEM, n ="
"oncotarget.com","in tissue lysates were measured by Western blotting. </s><s> (C) Representative images of EpiGingival tissues used for ALI","exposures stained with","H&E (showing histological features) and γH2AX staining 24 h post exposure to control (air) and flavored e-cig"
"stanford.edu","and operators. </s><s> We used prestained controls generated by the primary center as a reference to compare against","samples stained at","each individual center. </s><s> Data were analyzed at the primary center, including investigating the effects of two"
"arvojournals.org","counted in a unit area of 500 × 500 μm (A). </s><s> Ratios between normal AMs and crosslinked AMs were compared. </s><s> Images show HCE","cells stained with","calcein-acetoxymethyl cultured on normal AMs (B), GA-crosslinked AMs (C), and DAS-crosslinked AMs (D). *P < 0.05,"
"the-scientist.com","body''s sperm factories, suggesting that the use of cannabis may directly affect them. </s><s> Sep 19, 2019 </s><s> Ruth Williams </s><s> Human","testis stained for","the endocannabinoid degrading enzyme FAAH </s><s> Heavy use of marijuana has been linked to low sperm counts and testicular"
"aquahobby.com","fairly soft--I can''t remember the exact numbers because it''s been a few weeks since I last tested. </s><s> The water is clear but","tannin stained from","the driftwood I have _________________ ""Music is to the mind as air to the body."" </s><s> --Plato </s><s> I would certainly keep this"
"adult-fanfiction.org",", fighting the giant squid. </s><s> He snickered at it and keep moving forward, towards the village. </s><s> A cluster of crude stone","dwellings stained with","algae loomed suddenly and Harry could see faces peering out from the windows, hesitantly watching him. </s><s> A few of the"
"gutenberg.org","sweet; and we had seen the quiet solitudes of our paradise suddenly broken in upon by ferocious savages, and the white","sands stained with","blood and strewed with lifeless forms, yet among these cannibals we had seen many symptoms of a kindly nature. </s><s> I"
"1d4chan.org","more than their sanity, as all of their numbers are riddled with the scars of their trade. </s><s> Blackened patches of fur,","skin stained by","ashes and soot, even bare bones are all proudly displayed as trophies by their ranks. </s><s> The Fleshscorchers-A"
"novusbio.com","images acquired at the Advanced Light Microscopy Core Facility, University of Colorado. </s><s> A single isolated Wistar rat","cardiomyocyte stained against","α-actinin, displaying its periodic structure localized at the ends of sarcomeres (Z-discs). </s><s> Widefield"
"abctales.com","set hang on a wall mount. </s><s> It was hot and an overheated ceiling fan continued to buzz above. </s><s> The walls and insulation","boxes stained with","tobacco smoke and dirty pillows. </s><s> Kaola cared not to close the door and normally nobody popped at his door. </s><s> He dropped"
"kjim.org","velutipes, were also included in this test. </s><s> Agar gel plate was air-dried and stained with amidoblack (Fig. 4). </s><s> Agar gel","plate stained with","amidoblack. </s><s> Stained bands reveal positive reactions between the subject''s serum and P. floridae extract. </s><s> The"
"herts.ac.uk","(n = 120), with statistically significant increases in the observed abundance of intracellular root cortical fungal","structures stained with","Sheaffer® blue ink compared to trypan blue for both Zulu (P = 0.003) and Siskin (P = 0.0003) varieties of winter wheat. </s>"
"arvojournals.org","(PBS) and treated mice (EtxB). </s><s> Data sets are not significantly different. </s><s> Representative photomicrographs of eye","sections stained with","anti-CD45 mAb are shown for control mice (B) and EtxB-treated mice (C). </s><s> (D) Mean histologic disease score for treated"
"1worldpeace.org","root of immortality. </s><s> For neither did the design of humans'' evil arts mislead us nor the fruitless labor of painters, a","figure stained with","varied colors, whose sight returns fools into desire, and they yearn for the lifeless form of a dead image. </s><s> Lovers of"
"chicagotribune.com","collection in Rome, include one of those fingerless gloves soaked with blood, a scab from one of those lesions, cotton","gauze stained with","blood, a lock of his hair, a brown wool habit and part of a handkerchief used to dab sweat in the saint''s final hours. </s><s> It is"
"atour.com","forces and their disruptive policies in our country because they handed over the power and launched the hands of those","criminals stained with","Iraqi blood to trample on Iraq, its history, civilization and people, as did their ancestors, with America''s"
"sapub.org","p<0.01, **p<0.05. b) CD31 staining in tumor tissue sections. </s><s> Green color arrows indicate endothelial cells with CD31","marker stained with","Alexa 568 </s><s> The ability of PTX to inhibit newly formed vasculature around tumors was studied in intradermaly induced"
"duke.edu","cells, which are </s><s> Morphology of AMD mice (aged APOE4 mice on HF-C diet, APOE4-HFC): 1 micron plastic sections of mouse","retina stained with","toluidine blue. </s><s> Changes observed included RPE hyper- (A arrow) and hypo-pigmentation (B arrow), RPE atrophy (C"
"readcentral.com","climb the heights and look out over the desert wastes to descry the advent of the Mighty One, coming from Edom, with his","garments stained with","the blood of Israel''s foes. </s><s> When they met, the burden of conversation, which flowed under vine or fig-tree, by the"
"emory.edu","(VSVs) expressing Env and Gag. </s><s> More than 7 months after a single vaccination with VSV-Env, approximately 6% of CD8(+)","splenocytes stained with","major histocompatibility complex class I tetramers containing the Env p18-I10 immunodominant peptide and showed a"
"psychoanalystsopposewar.org","I see them, sometimes I don''t."" </s><s> She walks a visitor through the hospital''s hot, dim halls, the peeling linoleum on the","floors stained by","the thousands of lighted cigarettes crushed underfoot. </s><s> Anxious women, draped in black head-to-foot chadors, or"
"johnnewton.org","bears a near relation to this. </s><s> The prophet foresaw, what John saw in the accomplishment. </s><s> Viewing him as a Conqueror, his","garments stained with","blood, we are led to say it is the blood of his adversaries. </s><s> It is so. </s><s> But if we consider the manner in which he overcame them"
"deepthi.com","<s> The crowd thought he was crazy but one man came forward, he entered the Guru''s tent, then the Guru came out of the tent - his","sword stained with","blood. </s><s> One by one the guru chose four more men to come forward, and one by after another they entered and the Guru emerged"
"uspto.gov","regions of overlap or near overlap of objects in the cytoplasm image stained by the first dye and objects in the nuclear","image stained by","the second dye; </s><s> providing a sample stained with a first dye that preferentially stains a first type of feature and a"
"mfa.org","p_USDA_ARS.jpg|Rice varieties File:rice_straw_det.jpg|Rice straw paper File:Rice 40x.jpg|Rice paper","pulp stained with","Graff ""C"" stain File:Rice 40x smallvessels.jpg|Rice paper pulp stained with Graff ""C"" stain </gallery> == Sources"
"greenmedinfo.health","a computerized system in cryosections of the odd segments of the right, anterior descending and circumflex coronary","arteries stained with","Sudan-IV. </s><s> Mean intimal and lipid areas were 5.74 +/- 1.98 and 1.22 +/- 0.55 mm2 (22.12 +/- 8.48%) in 26 cases with high"
"ptd.net","...] All Puissant: [Opens Fourth Seal and takes out a human skull...] All Puissant: [Opens Fifth Seal and removes a","cloth stained with","blood] All Puissant: [Opens Sixth Seal and at that moment the Sun (on the chart) is darkened and the Moon stained with"
"arvojournals.org","by flow cytometry for expression of FoxP3 and CD25. </s><s> (A) Representative plots from ocular infiltrating cells of r-EAU","rats stained with","mAbs for CD4/CD25, CD4/Foxp3, and CD25/Foxp3. </s><s> (B) Numbers of CD4+FoxP3+ cells in eyes over time in m-EAU (left) and"
"mfa.org",".jpg|Maple (''''Acer Sp.'''') Maple 10x2.jpg|Maple paper pulp stained with Graff ""C"" stain Maple 40x.jpg|Maple paper","pulp stained with","Graff ""C"" stain </gallery> ==Resources and Citations== * Alden Identification Services, Microscopic Wood"
"hymntime.com",". </s><s> The awful catastrophe took place; and the collision with the mineral train left her severely injured, and the page of","hymn-book stained with","her blood. </s><s> During the two days of suffering that followed in the house to which she was moved at Manuel, the scene of the"
"australiancrimes.com","Feared Murdered </s><s> -Anti-drug campaigner Donald Mackay is missing and feared murderd after police found his deserted","van stained with","blood in Griffith, NSW, early this morning. </s><s> Mackay, a liberal party branch president and vocal campaigner against the"
"bio-protocol.org","DAPI. </s><s> Figure 6. </s><s> Confocal microscopy pictures obtained following our protocol. </s><s> Cross sections of infected faba bean","petioles stained with","DAPI (in blue) and hybridized with the R-A488 probe in green and N-A568 probe in red. </s><s> A. Green channel (R probe = part of"
"storiesofarda.com",", Brand saw with rising alarm, but of battle. </s><s> Gilvagor''s arm was in a sling crude by Elven standards, his mount''s dun","coat stained with","dried blood beneath a saddle that usually he eschewed. </s><s> Dol Guldur. </s><s> Thranduil''s borders were tested earlier this"
"slashcity.net","of strangers. </s><s> They changed slowly, because they were well-fed, not threatened–happy. </s><s> Then came the lightless gulf of","space stained by","a red glow. </s><s> Before Kirk''s mind many generations of the gentle people rose and fell. </s><s> The singing women died in agonizing"
"oculist.net",", desiccation, and gastric enzymes. </s><s> Fig. 1. </s><s> Toxoplasma gondii. </s><s> Tachyzoites from the peritoneal exudates of infected","mice stained with","Giemsa (× 100). </s><s> Bradyzoites are slowly metabolizing organisms found in cysts formed within the tissue of the infected"
"ucalgary.ca",". </s><s> Embryos from the two integrated transformed strains were stained for esterase activity. </s><s> The pJM15 transformed","embryos stained in","the gut region, whereas the pJM15GATA1GATA2-transformed embryos stained in the pharynx and tail region. </s><s> In situ"
